ID,Name,Symbol
290,Cardano,ADA
291,Cardano,ADA
292,Cardano,ADA
293,Cardano,ADA
294,Cardano,ADA
295,Cardano,ADA
296,Cardano,ADA
297,Cardano,ADA
298,Cardano,ADA
299,Cardano,ADA
300,Cardano,ADA
301,Cardano,ADA
302,Cardano,ADA
303,Cardano,ADA
304,Cardano,ADA
305,Cardano,ADA
306,Cardano,ADA
307,Cardano,ADA
308,Cardano,ADA
309,Cardano,ADA
310,Cardano,ADA
311,Cardano,ADA
312,Cardano,ADA
313,Cardano,ADA
314,Cardano,ADA
315,Cardano,ADA
316,Cardano,ADA
317,Cardano,ADA
318,Cardano,ADA
319,Cardano,ADA
320,Cardano,ADA
321,Cardano,ADA
322,Cardano,ADA
323,Cardano,ADA
324,Cardano,ADA
325,Cardano,ADA
326,Cardano,ADA
327,Cardano,ADA
328,Cardano,ADA
329,Cardano,ADA
330,Cardano,ADA
331,Cardano,ADA
332,Cardano,ADA
333,Cardano,ADA
334,Cardano,ADA
335,Cardano,ADA
336,Cardano,ADA
337,Cardano,ADA
338,Cardano,ADA
339,Cardano,ADA
340,Cardano,ADA
341,Cardano,ADA
342,Cardano,ADA
343,Cardano,ADA
344,Cardano,ADA
345,Cardano,ADA
346,Cardano,ADA
347,Cardano,ADA
348,Cardano,ADA
349,Cardano,ADA
350,Cardano,ADA
351,Cardano,ADA
352,Cardano,ADA
353,Cardano,ADA
354,Cardano,ADA
355,Cardano,ADA
356,Cardano,ADA
357,Cardano,ADA
358,Cardano,ADA
359,Cardano,ADA
360,Cardano,ADA
361,Cardano,ADA
362,Cardano,ADA
363,Bitcoin Cash,BCH
364,Bitcoin Cash,BCH
365,Bitcoin Cash,BCH
366,Bitcoin Cash,BCH
367,Bitcoin Cash,BCH
368,Bitcoin Cash,BCH
369,Bitcoin Cash,BCH
370,Bitcoin Cash,BCH
371,Bitcoin Cash,BCH
372,Bitcoin Cash,BCH
373,Bitcoin Cash,BCH
374,Bitcoin Cash,BCH
375,Bitcoin Cash,BCH
376,Bitcoin Cash,BCH
377,Bitcoin Cash,BCH
378,Bitcoin Cash,BCH
379,Bitcoin Cash,BCH
380,Bitcoin Cash,BCH
381,Bitcoin Cash,BCH
382,Bitcoin Cash,BCH
383,Bitcoin Cash,BCH
384,Bitcoin Cash,BCH
385,Bitcoin Cash,BCH
386,Bitcoin Cash,BCH
387,Bitcoin Cash,BCH
388,Bitcoin Cash,BCH
389,Bitcoin Cash,BCH
390,Bitcoin Cash,BCH
391,Bitcoin Cash,BCH
392,Bitcoin Cash,BCH
393,Bitcoin Cash,BCH
394,Bitcoin Cash,BCH
395,Bitcoin Cash,BCH
396,Bitcoin Cash,BCH
397,Bitcoin Cash,BCH
398,Bitcoin Cash,BCH
399,Bitcoin Cash,BCH
400,Bitcoin Cash,BCH
401,Bitcoin Cash,BCH
402,Bitcoin Cash,BCH
403,Bitcoin Cash,BCH
404,Bitcoin Cash,BCH
405,Bitcoin Cash,BCH
406,Bitcoin Cash,BCH
407,Bitcoin Cash,BCH
408,Bitcoin Cash,BCH
409,Bitcoin Cash,BCH
410,Bitcoin Cash,BCH
411,Bitcoin Cash,BCH
